n_subj	errors	answer_length	number_shift	number_del	number_canc	number_space	number_arrow	prompted-firstdigit	Prompted-firstdigit_adjusted_GULPEASE	firstdigit-enter	prompted-enter	writing_time	time_key_before_enter_down	time_key_before_enter_flight	filtered_series_di_both_max	filtered_series_di_both_min	filtered_series_di_both_median	filtered_series_di_both_std	filtered_series_di_both_var	filtered_series_di_both_mean	filtered_series_di_up_max	filtered_series_di_up_min	filtered_series_di_up_median	filtered_series_di_up_std	filtered_series_di_up_var	filtered_series_di_up_mean	filtered_series_di_down_max	filtered_series_di_down_min	filtered_series_di_down_median	filtered_series_di_down_std	filtered_series_di_down_var	filtered_series_di_down_mean	filtered_series_di_flight_max	filtered_series_di_flight_min	filtered_series_di_flight_median	filtered_series_di_flight_std	filtered_series_di_flight_var	filtered_series_di_flight_mean	filtered_series_di_press_max	filtered_series_di_press_min	filtered_series_di_press_median	filtered_series_di_press_std	filtered_series_di_press_var	filtered_series_di_press_mean	filtered_series_tri_both_max	filtered_series_tri_both_min	filtered_series_tri_both_median	filtered_series_tri_both_std	filtered_series_tri_both_var	filtered_series_tri_both_mean	filtered_series_tri_up_max	filtered_series_tri_up_min	filtered_series_tri_up_median	filtered_series_tri_up_std	filtered_series_tri_up_var	filtered_series_tri_up_mean	filtered_series_tri_down_max	filtered_series_tri_down_min	filtered_series_tri_down_median	filtered_series_tri_down_std	filtered_series_tri_down_var	filtered_series_tri_down_mean	mind_condition
11	0.2778	8.7778	0.6667	0.7778	0.0000	0.1111	0.0000	4552.6667	4398.1989	6264.5000	10817.1667	712.0556	3685.0000	3578.1667	449.3333	18.5000	85.7222	93.3493	23603.5828	100.9088	554.2222	70.0556	158.1111	145.1903	52037.1868	195.6887	551.8333	86.0556	161.5278	140.4984	50689.8056	201.1834	473.1667	26.7778	91.0278	139.5260	52544.8509	135.7195	148.5556	78.2222	103.1667	26.1044	736.3247	106.5048	627.6667	144.0000	243.4444	142.0529	48940.1327	274.0184	744.9444	209.5556	354.6944	188.7456	91579.4639	392.2584	747.4444	237.0556	349.6389	180.3447	90721.2452	399.2569	1
12	0.0000	8.3889	0.0000	1.0556	0.0000	0.2222	0.0000	4085.5556	3925.8144	3074.2222	7159.7778	325.3333	715.5000	620.7222	239.5556	15.8889	79.6667	51.9171	3655.1172	82.4802	329.8889	74.0556	150.2222	84.0507	9710.3599	164.0920	326.8889	74.9444	144.6111	83.5590	9041.3942	161.6659	262.3889	24.7222	104.9722	79.7355	8725.0763	111.6910	109.9444	71.8889	88.2500	13.2819	207.1881	89.0510	389.0556	120.0000	211.5556	86.7535	9806.7416	219.9060	508.0000	208.7778	315.7778	102.1096	14342.5826	329.5569	507.6667	206.1111	317.6389	105.3423	14265.5061	326.5253	0
13	0.2778	8.2778	2.4444	0.8333	0.0000	0.1667	0.0000	8682.5556	8309.5167	5879.5556	14562.1111	888.0556	2501.2778	2408.6111	539.8889	19.7222	88.3611	151.3084	82260.5537	131.2059	642.6111	99.2778	189.3611	224.7954	200926.6805	270.7038	638.3889	98.3889	196.9167	224.6403	197882.5548	274.6344	577.2222	195.8333	289.8333	134.3183	37812.0481	315.7836	119.9444	75.0000	98.4167	16.0170	337.5357	98.0530	555.5556	143.1111	272.4167	140.7126	36940.9376	287.9358	814.5000	258.6111	469.6111	263.9694	292850.8577	494.0067	818.3333	273.3889	480.5278	265.0731	295693.1430	502.0346	1
14	0.2778	8.1111	0.0000	0.5000	0.0000	0.1111	0.0000	3733.9444	3626.6178	3301.7222	7035.6667	419.3889	1001.5000	912.2222	544.0556	25.1667	86.3333	113.5424	29642.5544	113.4122	644.0000	100.5000	179.4444	175.7417	66424.9345	233.0123	625.3333	108.2222	180.4722	163.5388	61709.1371	232.5334	565.7222	35.6111	102.5000	174.2242	65726.3035	161.3403	112.7778	69.1111	87.4167	15.8731	282.0872	88.9641	700.0000	185.8889	265.6667	164.1423	62053.7238	311.0493	816.0000	266.6111	408.7222	227.1247	121182.1061	455.5102	806.8333	284.2222	414.8611	214.9934	113824.0710	455.6350	1
15	0.0556	8.4444	3.7222	0.2222	0.0000	0.1111	0.0556	6501.3333	6002.8111	5170.1667	11671.5000	480.9444	1162.1667	1069.5556	1276.5000	33.1111	103.1944	212.5868	289505.9090	151.0350	1380.2778	133.2222	227.4444	305.1823	589805.4988	308.6004	1383.6667	128.8333	230.5278	306.2803	588229.7240	311.0628	1281.7778	38.2222	126.4722	308.4401	608155.5675	224.3490	147.0556	75.9444	101.3056	21.5026	688.7269	102.6930	1468.1667	231.8333	332.3611	302.6743	573140.2549	403.4903	1812.0000	334.3333	517.5833	431.7574	1354225.8428	622.5943	1796.1667	352.1111	536.1389	426.5180	1330241.6984	626.1619	1
16	0.0000	8.6667	0.0000	0.5000	0.0000	0.1111	0.0000	2034.3889	1946.1433	3441.0556	5475.4444	423.2778	1375.0556	1282.6111	548.1111	14.5000	70.9167	117.6479	57808.2126	95.5809	633.3333	51.9444	134.5000	182.7114	118149.5942	192.4581	632.6111	59.2222	137.5833	175.7210	117126.0695	191.5330	578.5556	19.8889	99.2222	175.8487	116270.8080	152.3857	109.3889	60.3889	80.3611	16.4557	301.4432	81.9914	682.4444	100.2778	191.6389	177.3144	117743.3732	240.8602	756.1111	190.4444	352.0833	209.9848	195510.5991	380.5485	767.6667	190.9444	347.1389	213.8573	196087.3103	378.5865	0
17	0.0000	9.1667	0.6667	0.5556	0.0000	0.3889	0.0000	1979.1111	1915.9356	2764.6111	4743.7222	306.6667	671.1667	577.8333	396.9444	15.6667	85.4444	90.4272	10690.6515	104.0784	487.8333	73.1667	178.7222	136.4045	24606.2173	211.1921	483.7778	83.0000	170.1389	134.7999	23042.4373	8818.8620	416.4444	34.1111	124.6111	131.7493	22927.2897	161.4412	122.0000	63.8333	87.7222	19.9076	449.0298	88.7149	534.7778	129.8333	241.3333	129.0715	20788.2581	266.6281	685.6111	251.6667	388.7778	156.1186	32586.3809	417.9064	693.3889	252.1667	381.5833	162.1063	33202.0130	412.7853	0
18	0.0000	11.2222	0.2222	0.1667	0.0000	0.5000	0.0000	2251.1667	2176.1139	3401.8333	5653.0000	325.5556	925.6667	812.0556	365.3333	20.7778	96.3611	89.3662	12397.4688	117.4521	495.5556	90.1111	207.6944	139.4382	29828.3983	235.5470	478.8889	105.4444	201.5833	130.3421	26098.4998	236.8775	396.6667	32.9444	123.8333	134.8434	29290.2310	161.3319	160.5556	81.5000	106.8056	27.7419	861.7212	112.9988	562.5000	168.6667	293.3056	137.3704	26739.1940	318.6192	730.5556	283.3333	423.9722	168.4455	51891.0998	464.8668	710.5556	304.8889	418.1111	159.4737	45201.9823	463.5101	0
19	0.0556	9.1667	0.0000	0.0000	0.0000	0.2222	0.0000	5391.7222	4815.8867	5065.8333	10457.5556	562.6667	1823.3889	1722.0000	767.8889	69.5556	113.2778	174.0194	51993.1581	182.2358	899.2222	197.8889	320.8056	218.1567	86684.0882	378.8145	886.7222	198.8889	314.3611	215.6884	85335.6456	376.2596	801.0000	110.2778	215.8611	238.0025	112292.8951	301.1385	128.8333	77.7778	101.0278	17.2126	316.3624	101.7142	982.2778	299.6667	421.5556	211.8460	82016.4792	477.8629	1272.4444	487.6111	666.4167	283.4462	141641.7225	740.2422	1238.4444	468.0556	668.5278	278.7624	136799.2374	733.0511	0
20	0.2778	7.9444	0.0000	0.0000	0.0000	0.1111	0.0000	5710.8889	5578.4011	3587.5000	9298.3889	473.8333	1814.1667	1726.6111	446.2778	31.5000	93.5556	107.6389	15954.5329	122.8399	538.7222	101.2778	192.9444	159.3176	35127.2238	247.5880	542.2222	111.1667	195.6389	156.8290	33543.3572	251.5861	451.2778	39.6111	123.9167	156.9171	35930.0877	175.2679	128.2778	65.6667	92.0833	22.3667	563.7313	94.0496	630.7222	177.7778	281.4722	158.2345	32052.7094	328.1513	751.8889	287.7222	465.2500	191.7087	52170.7998	496.6564	759.1667	314.1667	466.1111	183.1875	50341.1367	504.8128	1
